,0,1,2
565,ネガ（評価）,けしからん です,-1.0
566,ネガ（評価）,けしからん と,-1.0
567,ネガ（評価）,けしからん の,-1.0
568,ネガ（評価）,けちけち,-1.0
569,ネガ（評価）,けちけち する た,-1.0
570,ネガ（評価）,けちん坊 だ,-1.0
571,ネガ（評価）,けちん坊 です,-1.0
572,ネガ（評価）,けちん坊 と,-1.0
573,ネガ（評価）,けちん坊 の,-1.0
574,ネガ（評価）,けばけば,-1.0
575,ネガ（評価）,けばけばしい,-1.0
576,ネガ（評価）,けわしい,-1.0
577,ネガ（評価）,けんのん だ,-1.0
578,ネガ（評価）,けんのん です,-1.0
579,ネガ（評価）,げっそり,-1.0
580,ネガ（評価）,こしゃく だ,-1.0
581,ネガ（評価）,こしゃく です,-1.0
582,ネガ（評価）,こすい,-1.0
583,ネガ（評価）,こせこせ,-1.0
584,ネガ（評価）,こっぴどい,-1.0
585,ネガ（評価）,こっ酷い,-1.0
586,ネガ（評価）,こてんこてん だ,-1.0
587,ネガ（評価）,こてんこてん です,-1.0
588,ネガ（評価）,ごしゃごしゃ,-1.0
589,ネガ（評価）,ごちゃごちゃ,-1.0
590,ネガ（評価）,ごっちゃ だ,-1.0
591,ネガ（評価）,ごっちゃ です,-1.0
592,ネガ（評価）,ごてごて,-1.0
593,ネガ（評価）,ごみごみ,-1.0
594,ネガ（評価）,ご法度 だ,-1.0
595,ネガ（評価）,ご法度 です,-1.0
596,ネガ（評価）,ご法度 と,-1.0
597,ネガ（評価）,ご法度 の,-1.0
598,ネガ（評価）,さもしい,-1.0
599,ネガ（評価）,しかた ない,-1.0
600,ネガ（評価）,しかつめらしい,-1.0
601,ネガ（評価）,しつこい,-1.0
602,ネガ（評価）,しどろ だ,-1.0
603,ネガ（評価）,しどろ です,-1.0
604,ネガ（評価）,しどろもどろ だ,-1.0
605,ネガ（評価）,しどろもどろ です,-1.0
606,ネガ（評価）,しみったれる,-1.0
607,ネガ（評価）,しょうが ない,-1.0
608,ネガ（評価）,しょぼい,-1.0
609,ネガ（評価）,しょぼしょぼ,-1.0
610,ネガ（評価）,しらじらしい,-1.0
611,ネガ（評価）,しわくちゃ だ,-1.0
612,ネガ（評価）,しわくちゃ です,-1.0
613,ネガ（評価）,しわくちゃ と,-1.0
614,ネガ（評価）,しわくちゃ の,-1.0
615,ネガ（評価）,しわしわ,-1.0
616,ネガ（評価）,しんどい,-1.0
617,ネガ（評価）,しんねり,-1.0
618,ネガ（評価）,じじむさい,-1.0
